Organism,Count,R,S,I,NI,NA_Count,Drug,Dominant_Category
STAPHYLOCOCCUS SIMULANS,2,0,0,0,1,1,Amikacin,NI
SCHAALIA HYOVAGINALIS,6,0,0,0,0,6,Amikacin,Tie
SALMONELLA SP.GROUP C,1,0,0,0,0,1,Amikacin,Tie
RHODOCOCCUS HOAGII (RHODOCOCCUS EQUI),2,0,0,0,2,0,Amikacin,NI
SALMONELLA C1,1,0,0,0,0,1,Amikacin,Tie
SALMONELLA 18,1,0,0,0,0,1,Amikacin,Tie
OLIGELLA URETHRALIS,1,0,1,0,0,0,Amikacin,S
BORDETELLA TREMATUM,1,0,1,0,0,0,Amikacin,S
CORYNEBACTERIUM MASTITIDIS,1,0,0,0,1,0,Amikacin,NI
AEROMONAS SALMONICIDA,2,0,0,0,1,1,Amikacin,NI
LACTOCOCCUS LACTIS,1,0,0,0,1,0,Amikacin,NI
PROVIDENCIA RETTGERI (PROTEUS),3,0,1,1,0,1,Amikacin,Tie
SCHAALIA CANIS,5,0,0,0,4,1,Amikacin,NI
SCHAALIA (ACTINOMYCES) HYOVAGINALIS,1,0,0,0,0,1,Amikacin,Tie
FLAVOBACTERIUM SP.,1,1,0,0,0,0,Amikacin,R
HISTOPHILUS SOMNI (HAEMOPHILUS SOMNUS),1,0,0,0,0,1,Amikacin,Tie
PANTOEA EUCRINA,1,0,1,0,0,0,Amikacin,S
ACTINOBACILLUS LIGNIERESII,1,0,0,0,0,1,Amikacin,Tie
CORYNEBACTERIUM DIPHTHERIAE,1,0,0,0,1,0,Amikacin,NI
STAPHYLOCOCCUS SP. COAGULASE-CULTURE NEGATIVE,1,0,0,0,1,0,Amikacin,NI
PSEUDOMONAS OLEOVORANS,1,0,1,0,0,0,Amikacin,S
CORYNEBACTERIUM KUTSCHERI,2,0,0,0,1,1,Amikacin,NI
ESCHERICHIA SP.,1,0,1,0,0,0,Amikacin,S
,2,0,0,0,0,2,Amikacin,Tie
CORYNEBACTERIUM SP.,341,77,160,3,7,94,Amoxicillin,S
CULTURE NEGATIVE,39939,0,0,0,0,0,Amoxicillin,Tie
GRAMNEGATIVE ROD,66,6,30,0,0,30,Amoxicillin,S
ACINETOBACTER BAUMANNII COMPLEX,6,0,1,1,0,4,Amoxicillin,Tie
PROTEUS MIRABILIS,654,88,525,3,0,38,Amoxicillin,S
STAPHYLOCOCCUS EPIDERMIDIS,23,9,10,0,0,4,Amoxicillin,S
ENTEROCOCCUS SP.,264,45,183,3,1,32,Amoxicillin,S
PSEUDOMONAS AERUGINOSA,564,408,1,0,13,142,Amoxicillin,R
ESCHERICHIA COLI,2826,928,1434,165,7,292,Amoxicillin,S
MORGANELLA MORGANI SS MORGANII,25,17,0,0,0,8,Amoxicillin,R
PROTEUS SP.,4,0,3,0,0,1,Amoxicillin,S
ALCALIGENES FAECALIS SS FAECALIS,4,0,1,0,0,3,Amoxicillin,S
STREPTOCOCCUS ALPHA HEMOLYTIC,335,3,213,0,0,119,Amoxicillin,S
BACILLUS LENTUS,1,0,1,0,0,0,Amoxicillin,S
ENTEROBACTER CLOACAE COMPLEX,20,17,0,0,0,3,Amoxicillin,R
PASTEURELLA MULTOCIDA,160,5,112,10,0,33,Amoxicillin,S
PROTEUS VULGARIS,35,2,12,0,0,21,Amoxicillin,S
STAPHYLOCOCCUS PSEUDINTERMEDIUS,2157,655,1329,1,18,154,Amoxicillin,S
STREPTOCOCCUS BETA GROUP - G,5,1,3,0,0,1,Amoxicillin,S
KLEBSIELLA PNEUMONIAE,174,38,87,3,0,46,Amoxicillin,S
LECLERCIA ADECARBOXYLATA,8,1,4,0,0,3,Amoxicillin,S
BACILLUS SP.,130,4,96,0,1,29,Amoxicillin,S
ESCHERICHIA COLI HAEMOLYTIC,25,0,19,4,0,2,Amoxicillin,S
AEROCOCCUS SP.,13,0,12,0,0,1,Amoxicillin,S
STREPTOCOCCUS EQUI SS ZOOEPIDEMICUS,162,0,8,0,0,154,Amoxicillin,S
KLEBSIELLA OXYTOCA,72,17,41,1,0,13,Amoxicillin,S
PSEUDOMONAS PUTIDA,5,5,0,0,0,0,Amoxicillin,R
STAPHYLOCOCCUS AUR. SS AUREUS,134,24,53,16,3,38,Amoxicillin,S
PSEUDOMONAS MENDOCINA,4,1,0,1,0,2,Amoxicillin,Tie
MICROCOCCUS SP.,17,0,14,0,0,3,Amoxicillin,S
CITROBACTER KOSERI,18,0,16,0,0,2,Amoxicillin,S
STAPHYLOCOCCUS SP.,13,3,7,1,0,2,Amoxicillin,S
MORGANELLA MORGANI SSP SIBONII,1,1,0,0,0,0,Amoxicillin,R
ACTINOBACILLUS SUIS,22,0,0,0,0,22,Amoxicillin,Tie
ACTINOBACILLUS EQUULI SS EQUULI,21,0,0,0,0,21,Amoxicillin,Tie
STREPTOCOCCUS CANIS,777,8,667,3,4,95,Amoxicillin,S
PASTEURELLA CANIS,120,2,109,1,0,8,Amoxicillin,S
ESCHERICHIA COLI - LACTOSE CULTURE NEGATIVE,1,0,1,0,0,0,Amoxicillin,S
PSEUDOMONAS STUTZERI,5,1,3,0,0,1,Amoxicillin,S
PASTEURELLA PNEUMOTROPICA,9,0,7,0,0,2,Amoxicillin,S
MORAXELLA SP.,22,0,13,0,0,9,Amoxicillin,S
SPHINGOBACTERIUM SPIRITIVORUM,1,0,1,0,0,0,Amoxicillin,S
NEISSERIA SP.,24,1,19,0,3,1,Amoxicillin,S
NEISSERIA ZOODEGMATIS,9,0,8,0,1,0,Amoxicillin,S
PSEUDOMONAS ALCALIGENES,4,1,2,0,0,1,Amoxicillin,S
AEROMONAS HYDROPHILIA,4,2,0,2,0,0,Amoxicillin,Tie
AEROMONAS SP.,6,3,0,1,0,2,Amoxicillin,R
BORDETELLA BRONCHISEPTICA,46,1,31,0,9,5,Amoxicillin,S
CHRONOBACTER SAKAZAKII GROUP,1,1,0,0,0,0,Amoxicillin,R
RAOULTELLA ORNITHINOLYTICA,5,1,1,0,0,3,Amoxicillin,Tie
PROVIDENCIA RETTGERI,12,11,0,0,0,1,Amoxicillin,R
ENTEROCOCCUS FAECIUM,296,209,74,1,0,12,Amoxicillin,R
ROTHIA MUCILAGINOSA,3,0,3,0,0,0,Amoxicillin,S
ENTEROCOCCUS GALLINARUM,5,1,3,0,0,1,Amoxicillin,S
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE GROUP,407,122,195,0,2,88,Amoxicillin,S
ENTEROCOCCUS FAECALIS,612,8,566,1,4,33,Amoxicillin,S
SALMONELLA SP. GROUP B,18,0,1,0,0,17,Amoxicillin,S
SALMONELLA SP. GROUP C2,9,0,0,0,0,9,Amoxicillin,Tie
SERRATIA MARCESCENS,58,49,0,0,0,9,Amoxicillin,R
PANTOEA AGGLOMERANS,18,0,12,0,0,6,Amoxicillin,S
SPHINGOMONAS PAUCIMOBILIS,7,0,5,1,0,1,Amoxicillin,S
ACHROMOBACTER XYLO SS DENITRIFICANS,3,0,2,0,0,1,Amoxicillin,S
ALPHA STREP NOT SUIS,2,0,0,0,0,2,Amoxicillin,Tie
ENTEROCOCCUS DURANS,3,0,3,0,0,0,Amoxicillin,S
MANNHEIMIA HAEMOLYTICA,18,0,0,0,0,18,Amoxicillin,Tie
PASTEURELLA SP.,16,0,14,0,0,2,Amoxicillin,S
STREPTOCOCCUS NON-HEMOLYTIC,41,0,29,0,0,12,Amoxicillin,S
SALMONELLA SP. GROUP C1,14,0,0,0,0,14,Amoxicillin,Tie
BURKHOLDERIA CEPACIA GROUP,2,0,2,0,0,0,Amoxicillin,S
ENTEROCOCCUS AVIUM,16,0,16,0,0,0,Amoxicillin,S
ENTEROBACTER AEROGENES,33,26,0,0,0,7,Amoxicillin,R
ENTEROCOCCUS HIRAE,9,0,8,0,0,1,Amoxicillin,S
BREVUNDIMONAS VESICULARIS,1,0,0,0,0,1,Amoxicillin,Tie
SALMONELLA SP. GROUP E1,38,0,0,0,0,38,Amoxicillin,Tie
STAPHYLOCOCCUS COAGULASE POSITIVE GROUP,8,1,5,0,0,2,Amoxicillin,S
RHODOCOCCUS EQUI,16,0,0,0,0,16,Amoxicillin,Tie
HAEMOPHILUS SP.,6,0,4,0,0,2,Amoxicillin,S
PSEUDOMONAS SP.,16,6,2,2,0,6,Amoxicillin,R
KLEBSIELLA PNEUMONIAE SS PNEUMONIAE,1,0,0,0,0,1,Amoxicillin,Tie
ACINETOBACTERER SP.,32,5,7,1,0,19,Amoxicillin,S
STREPTOCOCCUS BETA GROUP - B,16,0,14,0,0,2,Amoxicillin,S
STREPTOCOCCUS BETA GROUP - C,23,0,20,0,1,2,Amoxicillin,S
LACTOBACILLUS ACIDOPHILUS,1,0,1,0,0,0,Amoxicillin,S
CITROBACTER AMALONATICUS,4,0,2,0,0,2,Amoxicillin,S
AEROMONAS CAVIAE,6,1,1,1,0,3,Amoxicillin,Tie
STREPTOCOCCUS EQUI SSP EQUI,43,0,0,0,0,43,Amoxicillin,Tie
STREPTOCOCCUS DYS. SS EQUISIMILIS,14,0,3,0,0,11,Amoxicillin,S
ENTEROBACTER CLOACAE,136,92,0,0,0,44,Amoxicillin,R
STAPHYLOCOCCUS CHROMOGENES,5,0,1,0,0,4,Amoxicillin,S
BRANHAMELLA OVIS,1,0,0,0,0,1,Amoxicillin,Tie
STREPTOCOCCUS SUIS V,1,0,0,0,0,1,Amoxicillin,Tie
STENOTROPHOMONAS MALTOPHILIA,19,13,0,0,0,6,Amoxicillin,R
STAPHYLOCOCCUS SCHLEIFERI SS COAGULANS,9,1,7,0,0,1,Amoxicillin,S
ACHROMOBACTER SP.,2,0,0,0,0,2,Amoxicillin,Tie
CITROBACTER FREUNDII,18,16,0,0,0,2,Amoxicillin,R
ESCHERICHIA COLI- LACTOSE NEG.,1,0,0,0,0,1,Amoxicillin,Tie
PROVIDENCIA STUARTII,5,3,0,0,0,2,Amoxicillin,R
ACHROMOBACTER XYLO SS XYLOSOXIDANS,1,0,1,0,0,0,Amoxicillin,S
MYROIDES SP.,2,0,1,0,0,1,Amoxicillin,S
GRAMNEGATIVE ORGANISM,11,2,5,0,0,4,Amoxicillin,S
SALMONELLA SP. GROUP E4,3,0,0,0,0,3,Amoxicillin,Tie
GRAMPOSITIVE ROD,4,0,3,0,0,1,Amoxicillin,S
CRONOBACTER SAKAZAKII GROUP,1,1,0,0,0,0,Amoxicillin,R
NEISSERIA ANIMALORIS,9,0,6,0,3,0,Amoxicillin,S
STREPTOCOCCUS SP. - NON HEMOLYTIC,1,0,1,0,0,0,Amoxicillin,S
CORYNEBACTERIUM RENALE,1,0,0,0,0,1,Amoxicillin,Tie
TRUEPERELLA PYOGENES,64,0,3,0,0,61,Amoxicillin,S
ESCHERICHIA FERGUSONII,2,0,2,0,0,0,Amoxicillin,S
PANTOEA SP.,18,0,15,0,0,3,Amoxicillin,S
STAPHYLOCOCCUS SCHLEIFERI,116,33,69,0,1,13,Amoxicillin,S
STAPHYLOCOCCUS SP. COAG CULTURE NEGATIVE,1,1,0,0,0,0,Amoxicillin,R
ENTEROBACTER ASBURIAE,23,18,2,0,0,3,Amoxicillin,R
PSEUDOMONAS FLUORESCENS,2,2,0,0,0,0,Amoxicillin,R
STREPTOCOCCUS BETA HAEMOLYTIC,5,0,3,0,0,2,Amoxicillin,S
ENTEROBACTER CANCEROGENUS,1,0,0,0,0,1,Amoxicillin,Tie
STAPHYLOCOCCUS SCHLEIFERI SS SCHLEIFERI,1,0,0,0,0,1,Amoxicillin,Tie
STAPHYLOCOCCUS HYICUS,5,0,0,0,0,5,Amoxicillin,Tie
SERRATIA LIQUEFACIENS,2,2,0,0,0,0,Amoxicillin,R
BIBERSTEINIA TREHALOSI,12,0,0,0,0,12,Amoxicillin,Tie
STREPTOCOCCUS UBERIS,6,0,0,0,0,6,Amoxicillin,Tie
"STAPHYLOCOCCUS SCHLEIFERI, COAGULASE POSITIVE",2,0,1,0,0,1,Amoxicillin,S
CITROBACTER BRAAKII,5,1,2,1,0,1,Amoxicillin,S
ACTINOBACILLUS SP.,13,0,0,0,0,13,Amoxicillin,Tie
ENTEROBACTER AMNIGENUS,2,2,0,0,0,0,Amoxicillin,R
STAPHYLOCOCCUS INTERMEDIUS,10,0,7,0,0,3,Amoxicillin,S
STAPHYLOCOCCUS SCHLEIFERI - COAG POS,37,5,25,0,1,6,Amoxicillin,S
STAPHYLOCOCCUS SCHLEIFERI - COAG NEG,58,27,19,0,1,11,Amoxicillin,R
SALMONELLA SP.,81,0,7,0,0,74,Amoxicillin,S
COAGULASE NEATIVE STAPHYLOCOCCUS,1,1,0,0,0,0,Amoxicillin,R
SALMONELLA SP.(POLY A),6,0,0,0,0,6,Amoxicillin,Tie
RHIZOBIUM RADIOBACTER,3,0,1,0,0,2,Amoxicillin,S
KLUYVERA ASCORBATA,1,0,1,0,0,0,Amoxicillin,S
HAFNIA ALVEI,2,1,0,1,0,0,Amoxicillin,Tie
STAPHYLOCOCCUS SACCHAROLYTICUS,1,0,1,0,0,0,Amoxicillin,S
RAOULTELLA PLANTICOLA,1,0,1,0,0,0,Amoxicillin,S
COMAMONAS TESTOSTERONI,1,0,0,0,0,1,Amoxicillin,Tie
SERRATIA RUBIDAEA,1,0,0,0,0,1,Amoxicillin,Tie
CITROBACTER SP.,2,1,1,0,0,0,Amoxicillin,Tie
PEDIOCOCCUS SP.,1,0,1,0,0,0,Amoxicillin,S
ACTINOMYCES CANIS,20,1,19,0,0,0,Amoxicillin,S
GRAMPOSITIVE COCCUS,8,0,5,0,2,1,Amoxicillin,S
ROTHIA NASIMURIUM,14,0,10,0,1,3,Amoxicillin,S
STAPHYLOCOCCUS WARNERI,1,0,1,0,0,0,Amoxicillin,S
ACINETOBACTERER LWOFFI,4,0,3,0,0,1,Amoxicillin,S
MICROCOCCUS LUTEUS,14,0,13,0,0,1,Amoxicillin,S
STREPTOCOCCUS DYS SS DYSGALACTIAE,11,0,7,0,0,4,Amoxicillin,S
ACTINOBACILLUS UREAE,6,0,0,0,0,6,Amoxicillin,Tie
ENTEROCOCCUS CANINTESTINI,15,0,15,0,0,0,Amoxicillin,S
ENTEROCOCCUS CANIS,4,0,4,0,0,0,Amoxicillin,S
HISTOPHILUS SOMNI,7,0,0,0,0,7,Amoxicillin,Tie
CORYNEBACTERIUM AURISCANIS,72,22,12,0,27,11,Amoxicillin,NI
BACILLUS CEREUS,20,2,13,0,2,3,Amoxicillin,S
STREPTOCOCCUS AGALACTIAE,10,0,9,0,0,1,Amoxicillin,S
NEISSERIA FLAVESCENS,2,0,2,0,0,0,Amoxicillin,S
ESCHERICHIA HERMANNII,3,1,1,0,0,1,Amoxicillin,Tie
HAEMOPHILUS HAEMOGLOBINOPHILUS,22,0,12,0,9,1,Amoxicillin,S
PASTEURELLA DAGMATIS,22,0,22,0,0,0,Amoxicillin,S
ACTINOMYCES SP.,22,0,18,0,0,4,Amoxicillin,S
MORAXELLA SPP,2,0,1,0,0,1,Amoxicillin,S
PSEUDOMONAS KOREENSIS,2,1,0,0,0,1,Amoxicillin,R
STREPTOCOCCUS PNEUMONIAE,10,1,1,0,1,7,Amoxicillin,Tie
STREPTOCOCCUS SP.,17,2,12,1,0,2,Amoxicillin,S
SPHINGOMONAS PARAPAUCIMOBILIS,1,0,1,0,0,0,Amoxicillin,S
LISTERIA MONOCYTOGENES,2,0,0,0,0,2,Amoxicillin,Tie
BACILLUS LICHENIFORMIS,7,0,7,0,0,0,Amoxicillin,S
AEROMONAS HYDROPHILA SS HYDROPHILA,3,1,0,2,0,0,Amoxicillin,I
METHYLOBACTERIUM SP.,1,0,0,0,0,1,Amoxicillin,Tie
AEROMONAS SOBRIA,3,0,0,1,0,2,Amoxicillin,I
SHEWANELLA PUTREFACIENS,3,0,2,0,0,1,Amoxicillin,S
STREPTOCOCCUS DYSGALACTIAE,28,0,14,0,0,14,Amoxicillin,S
PASTEURELLA STOMATIS,4,0,4,0,0,0,Amoxicillin,S
ACINETOBACTERER BAUMANNII,10,3,0,0,1,6,Amoxicillin,R
CORYNEBACTERIUM PSEUDOTUBERCULOSIS,10,0,1,0,0,9,Amoxicillin,S
GALLIBACTERIUM ANATIS,1,0,1,0,0,0,Amoxicillin,S
MORAXELLA BOVIS,2,0,0,0,0,2,Amoxicillin,Tie
ENTEROBACTER SP.,22,19,1,0,0,2,Amoxicillin,R
AEROMONAS VERONII,5,1,1,0,1,2,Amoxicillin,Tie
NEISSERIA WEAVERI,8,0,6,0,1,1,Amoxicillin,S
STREPTOCOCCUS GP. B,1,0,1,0,0,0,Amoxicillin,S
CORYNEBACTERIUM ULCERANS,9,0,6,0,2,1,Amoxicillin,S
CORYNEBACTERIUM UREALYTICUM,10,2,0,0,8,0,Amoxicillin,NI
AEROMONAS HYDROPHILA,2,0,0,1,1,0,Amoxicillin,Tie
CORYNEBACTERIUM AMYCOLATUM,29,0,12,0,14,3,Amoxicillin,NI
KLEBSIELLA SP.,7,5,2,0,0,0,Amoxicillin,R
ENTEROBACTER LUDWIGII,10,10,0,0,0,0,Amoxicillin,R
STREPTOCOCCUS DYSGALACT. SS EQUISIMILIS,1,0,0,0,0,1,Amoxicillin,Tie
STREPTOCOCCUS GROUP C,1,0,1,0,0,0,Amoxicillin,S
BACILLUS SIMPLEX,1,0,1,0,0,0,Amoxicillin,S
BURKHOLDERIA CEPACIA,2,2,0,0,0,0,Amoxicillin,R
PSEUDOMONAS FULVA,5,3,0,0,1,1,Amoxicillin,R
STAPHYLOCOCCUS SCHLEIFERI COAG POSITIVE,1,0,0,0,1,0,Amoxicillin,NI
ACTINOBACILLUS ROSSII,7,0,0,0,0,7,Amoxicillin,Tie
GRAMPOSITIVE ORGANISM,3,0,2,0,0,1,Amoxicillin,S
STAPHYLOCOCCUS SCHLEIFERI COAG NEG,1,0,0,0,0,1,Amoxicillin,Tie
BACILLUS MEGATERIUM,10,0,7,0,0,3,Amoxicillin,S
BACILLUS THURINGIENSIS,6,2,1,0,0,3,Amoxicillin,R
OCHROBACTRUM INTERMEDIUM,2,1,1,0,0,0,Amoxicillin,Tie
BERGEYELLA ZOOHELCUM,2,0,2,0,0,0,Amoxicillin,S
ROTHIA SP.,6,0,3,0,0,3,Amoxicillin,S
KLEBSIELLA VARIICOLA,16,1,14,0,0,1,Amoxicillin,S
CITROBACTER SEDLAKII,5,0,0,0,0,5,Amoxicillin,Tie
BACILLUS PUMILUS,5,0,2,0,1,2,Amoxicillin,S
EIKENELLA CORRODENS,3,0,3,0,0,0,Amoxicillin,S
MORAXELLA BOVOCULI,5,0,0,0,0,5,Amoxicillin,Tie
PSEUDOMONAS OTITIDIS,1,0,0,0,0,1,Amoxicillin,Tie
MANNHEIMIA VARIGENA,1,0,0,0,0,1,Amoxicillin,Tie
STAPHYLOCOCCUS DELPHINI,11,0,5,0,0,6,Amoxicillin,S
STREPTOCOCCUS MINOR,5,0,5,0,0,0,Amoxicillin,S
CORYNEBACTERIUM AURICANIS,2,1,0,0,0,1,Amoxicillin,R
CAPNOCYTOPHAGA OCHRACEA,1,0,1,0,0,0,Amoxicillin,S
MICROBACTERIUM PARAOXYDANS,2,0,2,0,0,0,Amoxicillin,S
AEROCOCCUS VIRIDANS,5,0,3,0,0,2,Amoxicillin,S
UNIDENTIFIED,1,0,0,0,0,1,Amoxicillin,Tie
STREPTOCOCCUS HALICHOERI,10,1,6,0,0,3,Amoxicillin,S
LACTOBACILLUS SP.,2,0,2,0,0,0,Amoxicillin,S
CORYNEBACTERIUM BOVIS,3,0,2,0,0,1,Amoxicillin,S
RAOULTELLA TERRIGENA,1,0,0,0,0,1,Amoxicillin,Tie
STAPHYLOCOCCUS SCHLEIFERI COAGULASE CULTURE NEGATIVE,1,1,0,0,0,0,Amoxicillin,R
STREPTOCOCCUS GALLOLYTICUS,8,0,8,0,0,0,Amoxicillin,S
ENTEROCOCCUS CASSELIFLAVUS,5,0,5,0,0,0,Amoxicillin,S
PROTEUS HAUSERI,17,5,9,0,0,3,Amoxicillin,S
STAPHYLOCOCCUS AUREUS,144,30,40,7,1,66,Amoxicillin,S
DELFTIA ACIDOVORANS,2,0,2,0,0,0,Amoxicillin,S
SALMONELLA SP. GROUP D,10,0,1,0,0,9,Amoxicillin,S
AVIBACTERIUM ENDOCARDITIDIS,1,0,0,0,0,1,Amoxicillin,Tie
PLURALIBACTER GERGOVIAE,3,1,2,0,0,0,Amoxicillin,S
KOCURIA VARIANS,1,0,0,0,0,1,Amoxicillin,Tie
CHRYSEOBACTERIUM GLEUM,2,1,0,0,0,1,Amoxicillin,R
AEROMONAS MEDIA,1,0,1,0,0,0,Amoxicillin,S
KOCURIA ROSEA,1,0,0,0,0,1,Amoxicillin,Tie
ESCHERICHIA VULNERIS,2,0,2,0,0,0,Amoxicillin,S
SALMONELLA SP. GROUP 18,3,0,0,0,0,3,Amoxicillin,Tie
PSEUDOMONAS ORYZIHABITANS,2,0,2,0,0,0,Amoxicillin,S
ARCANOBACTERIUM CANIS,4,0,3,0,0,1,Amoxicillin,S
STREPTOCOCCUS LUTIENSIS,1,0,0,0,0,1,Amoxicillin,Tie
LACTOBACILLUS SALIVARIUS,1,0,1,0,0,0,Amoxicillin,S
CORYNEBACTERIUM DIPTHERIAE,1,0,1,0,0,0,Amoxicillin,S
CANIBACTER ORIS,2,0,2,0,0,0,Amoxicillin,S
LACTOBACILLUS JOHNSONII,1,0,1,0,0,0,Amoxicillin,S
LACTOBACILLUS REUTERI,2,0,2,0,0,0,Amoxicillin,S
MORAXELLA OSLOENSIS,1,0,1,0,0,0,Amoxicillin,S
LEUCONOSTOC LACTIS,1,0,1,0,0,0,Amoxicillin,S
STREPTOCOCCUS LUTETIENSIS,2,0,2,0,0,0,Amoxicillin,S
BACILLUS SUBTILIS,1,0,1,0,0,0,Amoxicillin,S
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE SP.,1,0,1,0,0,0,Amoxicillin,S
PAENIBACILLUS HUMICUS,1,0,1,0,0,0,Amoxicillin,S
MORAXELLA CANIS,7,0,3,0,3,1,Amoxicillin,Tie
CAPNOCYTOPHAGA SP.,2,0,2,0,0,0,Amoxicillin,S
BACILLUS MYCOIDES,1,0,1,0,0,0,Amoxicillin,S
MORGANELLA MORGANI,2,1,0,0,0,1,Amoxicillin,R
PEDIOCOCCUS ACIDILACTICI,1,0,1,0,0,0,Amoxicillin,S
WEISELLA SP.,2,0,1,0,0,1,Amoxicillin,S
LYSINIBACILLUS SP.,1,0,1,0,0,0,Amoxicillin,S
MICROBACTERIUM PARAOXYDAS,1,0,1,0,0,0,Amoxicillin,S
STREPTOCOCCUS SP. GP. C,1,0,1,0,0,0,Amoxicillin,S
ARCANOBACTERIUM SP.,11,0,5,0,3,3,Amoxicillin,S
STAPHYLOCOCCUS SCHLEIFERI-COAG CULTURE NEGATIVE,1,1,0,0,0,0,Amoxicillin,R
STAPHYLOCOCCUS SCHLEIFERI-COAG POSITIVE,1,0,0,0,0,1,Amoxicillin,Tie
DERMACOCCUS SP.,1,0,1,0,0,0,Amoxicillin,S
HAEMOPHILUS HAEMOGLOBINOPHILIS,1,0,1,0,0,0,Amoxicillin,S
ENTEROCOCCUS MUNDTII,2,0,2,0,0,0,Amoxicillin,S
STREPTOCOCCUS MITIS,2,0,1,0,0,1,Amoxicillin,S
KOCURIA SP.,1,0,1,0,0,0,Amoxicillin,S
LELLIOTTIA AMNIGENA,1,1,0,0,0,0,Amoxicillin,R
ACINETOBACTERER JUNII,2,0,0,0,0,2,Amoxicillin,Tie
KOCURIA KRISTINAE,1,0,1,0,0,0,Amoxicillin,S
MACROCOCCUS CASEOLYTICUS,1,1,0,0,0,0,Amoxicillin,R
PASTEURELLA MAIRII,1,0,0,0,0,1,Amoxicillin,Tie
STAPHYLOCOCCUS COAG CULTURE NEGATIVE,1,1,0,0,0,0,Amoxicillin,R
SERRATIA FONTICOLA,2,0,2,0,0,0,Amoxicillin,S
LEUCONOSTOC SP.,1,0,1,0,0,0,Amoxicillin,S
LYSINIBACILLUS FUSIFORMIS,1,0,1,0,0,0,Amoxicillin,S
GRAMNEGATIVE COCCI,1,0,1,0,0,0,Amoxicillin,S
BREVIBACTERIUM SP.,1,0,1,0,0,0,Amoxicillin,S
STREPTOCOCCUS ANGINOSUS,1,0,1,0,0,0,Amoxicillin,S
STREPTOCOCCUS SUIS 2/4/33/34,1,0,0,0,0,1,Amoxicillin,Tie
PAENIBACILLUS SP.,7,0,5,0,0,2,Amoxicillin,S
GRAMPOSITIVE BRANCHING ROD,2,0,2,0,0,0,Amoxicillin,S
CHRYSEOBACTERIUM SP.,2,0,0,0,1,1,Amoxicillin,NI
ACTINOBACILLUS EQUULI,9,0,0,0,0,9,Amoxicillin,Tie
STAPHYLOCOCCUS HOMINIS SS HOMINIS,1,1,0,0,0,0,Amoxicillin,R
TRUEPERELLA BERNARDIAE,3,0,2,0,1,0,Amoxicillin,S
CITROBACTER FARMERI,2,0,2,0,0,0,Amoxicillin,S
ENTEROCOCCUS CANINESTINI,1,0,1,0,0,0,Amoxicillin,S
STREPTOCOCCUS DYS. SS DYSGALACTIAE,11,0,3,0,0,8,Amoxicillin,S
SALMONELLA GROUP - C1,1,0,0,0,0,1,Amoxicillin,Tie
VIBRIO CHOLERAE,1,0,0,0,0,1,Amoxicillin,Tie
GEMELLA CUNICULIS,1,0,0,0,0,1,Amoxicillin,Tie
SALMONELLA GROUP - C2,1,0,0,0,0,1,Amoxicillin,Tie
PSEUDOMONAS LUTEOLA,1,0,1,0,0,0,Amoxicillin,S
STENOTROPHOMONAS SP.,1,1,0,0,0,0,Amoxicillin,R
STREPTOCOCCUS SUIS,1,0,0,0,0,1,Amoxicillin,Tie
STREPTOCOCCUS SUIS 16,1,0,0,0,0,1,Amoxicillin,Tie
AEROMONAS HYDROPHILA/CAVIAE,2,1,0,0,0,1,Amoxicillin,R
PROVIDENCIA ALCALIFACIENS,1,1,0,0,0,0,Amoxicillin,R
STAPHYLOCOCCUS FELIS,32,2,29,0,0,1,Amoxicillin,S
YOKENELLA REGENSBURGEI,1,1,0,0,0,0,Amoxicillin,R
KLEBSIELLA AEROGENES,2,2,0,0,0,0,Amoxicillin,R
GRANULICATELLA ADIACENS,1,0,0,0,0,1,Amoxicillin,Tie
CORYNEBACTERIUM XEROSIS,1,0,0,0,0,1,Amoxicillin,Tie
CORYNEBACTERIUM PROPINQUUM,1,0,1,0,0,0,Amoxicillin,S
KLEBSIELLA (ENTEROBACTER) AEROGENES,1,1,0,0,0,0,Amoxicillin,R
CAPNOCYTOPHAGA CYNODEGMI,2,1,1,0,0,0,Amoxicillin,Tie
ALCALIGENES SP.,1,0,0,0,0,1,Amoxicillin,Tie
ACTINOBACILLUS PLEUROPNEUMONIAE,3,0,0,0,0,3,Amoxicillin,Tie
ACTINOBACILLUS EQUULI SS HAEMOLYTICUS,1,0,0,0,0,1,Amoxicillin,Tie
ENTEROBACTER HORMAECHEI,38,23,0,0,0,15,Amoxicillin,R
ACTINOMYCES HYOVAGINALIS,6,0,0,0,0,6,Amoxicillin,Tie
AEROMONAS HYDROPHILA COMPLEX,2,1,0,0,0,1,Amoxicillin,R
STREPTOCOCCUS SUIS XXXIV,2,0,0,0,0,2,Amoxicillin,Tie
HAEMOPHILUS HAEMOLYTICUS,1,0,0,0,0,1,Amoxicillin,Tie
AEROMONAS HYDROPHILA /CAVIAE,1,1,0,0,0,0,Amoxicillin,R
ESCHERICHIA COLI - HAEMOLYTIC,1,0,0,0,0,1,Amoxicillin,Tie
KOSAKONIA COWANII,1,0,1,0,0,0,Amoxicillin,S
TRUEPERELLA ABORTISUIS,4,0,2,0,1,1,Amoxicillin,S
ERYSIPELOTHRIX RHUSIOPATHIAE,1,0,0,0,0,1,Amoxicillin,Tie
